ID,page,time,look_tel,look_information
4e96s98i3tm1im2u6tfcg7aav20mibs8,708641,"2020-08-20 00:08:02",0,0
dgeua9aih5pimv2kpg2kjh5bsrh9sisg,764243,"2020-08-20 00:08:04",0,0
np7tpn2qs8vv32r13ctimsfqupd40v0q,741446,"2020-08-20 00:08:09",0,0
thps0bggceg6f6qbegtc3qauupd54pbn,700511,"2020-08-20 00:08:10",0,0
8jsp6otnaq9lvk3bmh6g874md6vj3c0u,691487,"2020-08-20 00:08:12",0,0
mvt8ibki9kba8ohm9ku9jqatbqjkamic,145166,"2020-08-20 00:08:12",0,0
7tid2i7e9c3o2k9o5ku555e9428ku83i,769684,"2020-08-20 00:08:15",0,0
h47uc5g1sbt109u0f5dhg5ne7edramt1,766463,"2020-08-20 00:08:18",0,0
01qqhf4741eb3348po7g7irb74tfhhd2,769360,"2020-08-20 00:08:19",0,0
ugl2fk635ctdf30bmki1kjivijgim9d9,682642,"2020-08-20 00:08:21",0,0
s1rpud74h8317t6nlo57b935461fkmcr,665091,"2020-08-20 00:08:24",0,0
qta7cup9g0424ervekr1s76pjrjsmuq5,718755,"2020-08-20 00:08:27",0,0
qo4fpop3751dcdtmbk084a3aspestc10,768681,"2020-08-20 00:08:33",0,0
a9jugkb7ktmrqmosd3jk7htavm8es2dc,769292,"2020-08-20 00:08:34",0,0
foke6q23riobcfj42p95q2broma802lb,769372,"2020-08-20 00:08:36",0,0
fballs18f0c51j8rfrs3o9vdgfdhuhoh,769322,"2020-08-20 00:08:40",0,0
h502b8s98s827q0a8ikp7vsi8k1s4kga,761917,"2020-08-20 00:08:43",0,0
9bug2unpiassajumhhdmajvcvala9pmh,658536,"2020-08-20 00:08:46",0,0
qekrlj0ocojfeqkma6mnb7shemuficnj,607099,"2020-08-20 00:08:47",0,0
fm0d0056v3q2jenudln3cfc9p5pd6v0h,315344,"2020-08-20 00:08:47",0,0
442akc1o9948cu7g0bpld9aleiitusl9,315344,"2020-08-20 00:08:49",0,0
vt755j0t01vf9s9p7sr8q61dk6k828q0,769700,"2020-08-20 00:08:49",0,0
at1js72su8e77skohv9i5qvsp1lrok86,315344,"2020-08-20 00:08:50",0,0
6fl1l751vqugh35mf24ppcs2h4dpa1js,764581,"2020-08-20 00:08:52",0,0
a9vt8dn0cl87e0j5npbighu1kuab3p5f,769066,"2020-08-20 00:08:53",0,0
8gcmr273s51t61o0r6ral2urbem9v257,769631,"2020-08-20 00:08:55",0,0
peb33jm3n2m65oue74a8ln8gogiojcts,235314,"2020-08-20 00:09:02",0,0
nge0nsgtbk83knl3hacb490md2nt3d6c,761171,"2020-08-20 00:09:02",0,0
1kmst78qa9hllcoid9qutdk1cvre3sl3,315344,"2020-08-20 00:09:03",0,0
0gtm4lk2qbb1le1a9faqloaeilf9fcic,616005,"2020-08-20 00:09:08",0,0
7cva8in93tskmndqj5lkvfd60sima1b4,769746,"2020-08-20 00:09:11",0,0
0miqr805u091m3lspsu9852if1c4apbi,623861,"2020-08-20 00:09:17",0,0
t6o258sis569mfou12d8akcsgn350qo6,487714,"2020-08-20 00:09:18",0,0
uptsqluaebi5c7ppegan0rd2n3vp7fii,616006,"2020-08-20 00:09:24",0,0
ejo700g3v0cuankkrlv5ohc1cvu1rdk1,747422,"2020-08-20 00:09:25",0,0
37dabph1dskgtghvt8ef5dofpf8m876u,769658,"2020-08-20 00:09:27",0,0
