en,th,latitude,longitude
,สถานีบางแค,13.712057399999999,100.42347190000001
,สถานีภาษีเจริญ,13.712933,100.434351
,สถานีเพชรเกษม 48,13.715669,100.4458255
,สถานีบางหว้า,13.7206876,100.45801879999999
,สถานีวัดด่าน (B6),13.6741562,100.5432272
,สถานีวัดปริวาส (B7),13.674583499999999,100.53446170000001
,สถานีวัดดอกไม้ (B8),13.6824228,100.52543879999999
,สถานีสะพานพระราม 9 (B9),13.688166500000001,100.5157078
,สถานีเจริญราษฎร์(B10),13.690157500000002,100.5042601
,สถานีสะพานพระราม 3 (B11),13.693316000000001,100.50066590000002
,สถานีนราราม 3 (B5),13.6964223,100.5452657
,สถานีถนนจันทน์ (B4),13.7046048,100.5391932
,สถานีเทคนิคกรุงเทพ (B3),13.71243,100.5351395
,สถานีราชพฤกษ์(B12),13.7149029,100.4783821
,สถานีอาคารสงเคราะห์ (B2),13.716945800000001,100.5328632
,สถานีสาทร (B1),13.721500500000001,100.53043840000001
,สถานีหัวลำโพง,13.737827,100.51633259999998
,สถานียศเส,13.749181400000001,100.5167699
,สถานียมราช,13.757737200000001,100.5208362
,สถานีราชวิถี,13.771263399999999,100.526391
,สถานีสามเสน,13.7793726,100.52979
,สถานีบางซื่อ,13.803306099999999,100.5398531
,สถานีจตุจักร,13.826100899999998,100.5493997
,สถานีวัดเสมียนนารี,13.8393855,100.5565097
,สถานีบางเขน,13.8483774,100.56142870000001
,สถานีทุ่งสองห้อง,13.865256500000001,100.57050109999999
,สถานีหลักสี่,13.8833288,100.58048840000001
,สถานีการเคหะ,13.897367000000001,100.588412
,สถานีดอนเมือง,13.9197166,100.600954
,สถานีหลักหก,13.9672578,100.6049965
,สถานีรังสิต,13.9898644,100.6021983
,สถานีคลองหนึ่ง,14.0231863,100.59811590000001
,สถานีเชียงราก,14.0553481,100.5926469
,สถานีธรรมศาสตร์รังสิต,14.074648300000002,100.58925390000002
,สถานีหัวหมาก,13.7382804,100.641675
,สถานีรามคำแหง,13.742803400000001,100.6000257
,สถานีมักกะสัน,13.750635199999998,100.56143940000001
,สถานีพญาไท,13.7569035,100.5338502
,สถานีราชวิถี,13.771315300000001,100.5263131
,สถานีสามเสน,13.7794249,100.5296874
,สถานีตลิ่งชัน,13.7890503,100.4402518
,สถานีประดิพัทธ์,13.7922283,100.53467629999999
,สถานีบางบำหรุ,13.792249100000001,100.4772448
,สถานีบ้านฉิมพลี,13.7991824,100.4200007
,สถานีกาญจนาภิเษก,13.8000949,100.394032
,สถานีศาลาธรรมสพน์,13.8009388,100.3707182
,สถานีศาลายา,13.802501600000001,100.32441259999999
,สถานีบางซื่อ,13.803423800000001,100.53924140000001
,สถานีบางกรวย,13.8086176,100.51
,สถานีรถไฟฟ้าพระราม 6,13.8151604,100.5170059
,สถานีบางซ่อน,13.822104199999998,100.5342257
,สถานีบางไผ่,13.7247003,100.46522320000001
,สถานีท่าพระ,13.7294529,100.47416559999999
,สถานีอโศก,13.7367666,100.5613777
,สถานีอิสรภาพ,13.7404021,100.4839232
,สถานีวัดมังกร,13.7418231,100.5104946
,สถานีจรัญ 13,13.742001,100.4706144
,สถานีวังบูรพา,13.7470154,100.5031776
,สถานีสนามไชย,13.7474188,100.494194
,สถานีแยกไฟฉาย,13.754860999999998,100.4694128
,สถานีบางขุนนนท์,13.7639794,100.47389749999999
,สถานีบางยี่ขัน,13.778099,100.48580109999999
,สถานีสิรินธร,13.7845907,100.4945612
,สถานีบางพลัด,13.7921632,100.50478840000001
,สถานีบางอ้อ,13.8044862,100.5130829
,สถานีบางโพ,13.8064296,100.5211017
,สถานีราษฎบูรณะ,13.575246300000002,100.57378309999999
,สถานีครุใน,13.641097,100.52605030000001
,สถานีพระประแดง,13.6589251,100.5189908
สถานีราษฎร์บูรณะ,Ratburana,13.6697516,100.51172199999999
,สถานีประชาอุทิศ,13.674448000000002,100.504244
,สถานีบางปะกอก,13.6787013,100.4975975
,สถานีดาวคะนอง,13.6881848,100.483827
,สถานีจอมทอง,13.695353899999999,100.48245909999999
